truck_id,timestamp,gps_lat,gps_lon,temperature_c,humidity_percent,battery_level_percent,shock_event,refrigeration_status,cold_chain_status,engine_status,event_type,alert_level,nearby_charger_available,distance_to_next_charger_km
TRUCK_095,2025-06-26T21:21:56.788748,32.062938,91.445047,2.72,54.51,97.67,False,On,NORMAL,On,normal,none,,
TRUCK_060,2025-06-26T21:22:03.788748,20.334338,89.578257,5.76,62.31,75.8,False,On,NORMAL,On,normal,none,,
TRUCK_006,2025-06-26T21:22:20.788748,14.138379,71.145524,9.19,62.87,84.47,False,On,BREACH,On,normal,none,,
TRUCK_046,2025-06-26T21:22:22.788748,25.519362,89.861814,4.86,72.95,17.23,False,On,NORMAL,On,normal,none,True,19.74
TRUCK_058,2025-06-26T21:22:22.788748,28.201293,73.311609,-16.39,79.61,94.01,False,On,NORMAL,On,normal,none,True,8.09
TRUCK_042,2025-06-26T21:22:23.788748,35.403717,86.025855,5.97,74.42,38.46,False,On,NORMAL,On,normal,none,False,23.54
TRUCK_008,2025-06-26T21:22:26.788748,21.447659,71.752181,7.65,56.4,22.71,False,On,NORMAL,On,normal,none,,
TRUCK_021,2025-06-26T21:22:28.788748,28.314933,89.509511,-17.49,56.83,34.39,False,On,NORMAL,On,normal,none,False,43.61
TRUCK_040,2025-06-26T21:22:35.788748,29.922661,81.579721,-16.3,54.42,27.85,False,On,NORMAL,On,normal,none,,
TRUCK_062,2025-06-26T21:22:36.788748,18.88064,79.422226,2.04,74.79,52.24,False,On,NORMAL,On,normal,none,,
TRUCK_073,2025-06-26T21:22:36.788748,13.918007,70.469246,13.89,54.16,86.74,False,On,OVERCOOLED,On,normal,none,False,28.32
TRUCK_083,2025-06-26T21:22:38.788748,8.451768,83.398777,1.43,72.79,3.55,False,On,OVERCOOLED,On,fault,medium,,
TRUCK_084,2025-06-26T21:22:38.788748,33.441719,85.262754,8.63,65.9,18.58,False,On,BREACH,On,normal,none,,
TRUCK_065,2025-06-26T21:22:41.788748,16.664841,86.26145,18.84,54.8,45.63,False,On,NORMAL,On,normal,none,True,27.73
TRUCK_018,2025-06-26T21:22:55.788748,14.987028,83.407991,-17.9,49.01,33.26,True,On,NORMAL,Stalled,fault,high,,
TRUCK_049,2025-06-26T21:22:57.788748,30.18203,71.271527,3.34,43.6,57.89,True,On,NORMAL,On,normal,none,,
TRUCK_097,2025-06-26T21:23:00.788748,17.018216,79.363347,1.5,56.83,60.32,False,On,OVERCOOLED,On,normal,none,,
TRUCK_039,2025-06-26T21:23:02.788748,35.017345,92.625086,24.0,57.64,27.38,False,On,NORMAL,On,normal,none,,
TRUCK_093,2025-06-26T21:23:02.788748,16.35992,73.241213,2.79,50.36,12.04,True,On,NORMAL,On,normal,none,,
TRUCK_088,2025-06-26T21:23:04.788748,24.972468,86.922082,9.31,79.95,56.78,False,On,BREACH,On,normal,none,,
TRUCK_063,2025-06-26T21:23:06.788748,19.953682,71.041013,5.85,54.98,10.32,False,On,NORMAL,On,normal,none,False,23.13
TRUCK_045,2025-06-26T21:23:35.788748,24.099346,74.05357,8.94,52.91,64.59,False,Off,BREACH,On,normal,none,True,46.18
TRUCK_009,2025-06-26T21:23:37.788748,36.229006,85.58243,9.66,67.67,69.56,False,On,BREACH,On,normal,none,,
TRUCK_077,2025-06-26T21:23:39.788748,27.091008,94.897802,1.36,75.0,43.78,False,Off,BREACH,On,normal,none,,
TRUCK_032,2025-06-26T21:23:47.788748,27.64663,91.548585,6.03,74.8,81.35,False,On,NORMAL,On,normal,none,,
TRUCK_034,2025-06-26T21:23:49.788748,30.681086,82.197092,18.43,55.71,35.47,False,Off,BREACH,On,normal,none,False,11.58
TRUCK_068,2025-06-26T21:23:51.788748,36.10687,92.709537,6.06,66.76,57.45,False,On,NORMAL,On,normal,none,True,29.51
TRUCK_089,2025-06-26T21:23:52.788748,21.617414,96.678903,2.56,61.04,80.84,False,On,NORMAL,On,normal,none,False,9.84
TRUCK_082,2025-06-26T21:23:55.788748,16.519522,94.513069,-18.05,76.01,93.15,False,On,OVERCOOLED,On,normal,none,False,22.22
TRUCK_098,2025-06-26T21:23:57.788748,10.384979,85.478594,1.96,70.11,28.49,True,On,OVERCOOLED,On,normal,none,,
TRUCK_050,2025-06-26T21:24:00.788748,30.218351,85.07883,9.06,44.3,43.1,False,On,BREACH,On,normal,none,,
